canonical_name,class,parent,description,engineering_owner_team,sre_support_owner,tier,queue,customer_facing,statuspage_exposure,alias,depends_on,notes
FIJI Identity & Access,Technical Service,Remote Monitoring Platform (Fiji),Authorization authentication entitlement and user management capabilities for FIJI,FIJI Product Team,REST + Platform SRE,T2,FIJI-Identity-Access,Yes,Yes,,"Brightlayer Cloud Platform,BLC Identity & Access",UNASSIGNED_REQUIRES_VALIDATION for engineering owner
FIJI Data Plane,Technical Service,Remote Monitoring Platform (Fiji),Realtime consumer and telemetry ingestion capabilities for FIJI workloads,FIJI Product Team,REST + Platform SRE,T1,FIJI-Data-Plane,Yes,Yes,,BLC Data Plane,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
FIJI Monitoring & Alarms,Technical Service,Remote Monitoring Platform (Fiji),Monitoring rule processing alarm lifecycle and energy monitoring services,FIJI Product Team,REST + Platform SRE,T1,FIJI-Monitoring-Alarms,Yes,Yes,,"FIJI Data Plane,BLC Alarms & Events",UNASSIGNED_REQUIRES_VALIDATION for engineering owner
FIJI Device Management,Technical Service,Remote Monitoring Platform (Fiji),Device onboarding inventory firmware lifecycle and adapter capabilities,FIJI Product Team,REST + Platform SRE,T1,FIJI-Device-Mgmt,Yes,Yes,,BLC Device Lifecycle,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
FIJI Analytics,Technical Service,Remote Monitoring Platform (Fiji),Condition monitoring predictive analytics and feature processing capabilities,FIJI Product Team,REST + Platform SRE,T2,FIJI-Analytics,No,Conditional,,FIJI Data Plane,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
FIJI Production & Quality,Technical Service,Remote Monitoring Platform (Fiji),OEE SPC quality workflow event processing capabilities,FIJI Product Team,REST + Platform SRE,T2,FIJI-Production-Quality,No,Conditional,,FIJI Data Plane,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
FIJI Integration & Orchestration,Technical Service,Remote Monitoring Platform (Fiji),Workflow automation integration hub and user automation engine,FIJI Product Team,REST + Platform SRE,T2,FIJI-Integration-Orchestration,No,No,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
FIJI Presentation & UX,Technical Service,Remote Monitoring Platform (Fiji),Shared gateway dashboard and localization layer supporting all FIJI business services,FIJI Product Team,REST + Platform SRE,T1,FIJI-Presentation-UX,Yes,Yes,,BLC Platform Edge & API,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Identity & Access,Technical Service,Brightlayer Cloud Platform,Authorization entitlement and user management for BLC adopters,BLC Identity Team,REST + Platform SRE,T1,BLC-Identity-Access,Yes,Yes,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Data Plane,Technical Service,Brightlayer Cloud Platform,Realtime and trend ingestion processing and storage capabilities,BLC Data Plane Team,REST + Platform SRE,T1,BLC-Data-Plane,Yes,Yes,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Alarms & Events,Technical Service,Brightlayer Cloud Platform,Alarm lifecycle state processing and event-driven notification workflows,BLC Alarms Team,REST + Platform SRE,T1,BLC-Alarms-Events,Yes,Yes,,BLC Data Plane,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Device Lifecycle,Technical Service,Brightlayer Cloud Platform,Asset inventory device commands firmware jobs and device tree management,BLC Device Team,REST + Platform SRE,T1,BLC-Device-Mgmt,Yes,Yes,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Device Connectivity & Provisioning,Technical Service,Brightlayer Cloud Platform,Device onboarding IoT hub assignment DPS registration and connection state,BLC Device Team,REST + Platform SRE,T1,BLC-Provisioning-PKI,Yes,Yes,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Profiles & Semantics,Technical Service,Brightlayer Cloud Platform,Ontology device profile and semantic model capabilities,BLC Semantics Team,REST + Platform SRE,T2,BLC-Device-Mgmt,No,No,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Notifications,Technical Service,Brightlayer Cloud Platform,Email and SMS delivery for alarms user workflows and account events,BLC Comms Team,REST + Platform SRE,T2,BLC-SRE-Ops,Yes,Yes,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
BLC Platform Edge & API,Technical Service,Brightlayer Cloud Platform,Application gateway APIM ingress policy enforcement and adopter API access,BLC Edge Team,REST + Platform SRE,T1,BLC-API-Gateway,Yes,Yes,,Brightlayer Cloud Platform,UNASSIGNED_REQUIRES_VALIDATION for engineering owner
